  nnod     Lon    Lat      Cost    hs      dir   
 321587  141.675  42.500   0.000  1.24 147.13 
 319020  141.700  42.400   0.130  1.39 144.88 
 316453  141.725  42.300   0.261  1.50 143.87 
 313886  141.750  42.200   0.392  1.58 143.22 
 311319  141.775  42.100   0.524  2.05 143.03 
 308752  141.800  42.000   0.657  2.09 141.23 
 306185  141.825  41.900   0.790  2.12 139.55 
 304260  141.850  41.825   0.892  2.15 138.99 
 302335  141.875  41.750   0.994  2.18 139.39 
 300410  141.900  41.675   1.098  2.20 138.80 
 298485  141.925  41.600   1.203  2.24 137.69 
 295918  141.950  41.500   1.341  2.30 136.37 
 293993  141.975  41.425   1.446  2.34 136.10 
 291426  142.000  41.325   1.585  2.40 135.11 
 288859  142.025  41.225   1.725  2.44 135.06 
 286292  142.050  41.125   1.866  2.49 134.27 
 285650  142.050  41.100   1.899  2.51 133.91 
 285008  142.050  41.075   1.932  2.52 133.55 
 284366  142.050  41.050   1.966  2.54 133.18 
 283724  142.050  41.025   1.999  2.56 132.86 
 283082  142.050  41.000   2.033  2.58 132.59 
 282440  142.050  40.975   2.066  2.60 132.56 
 281798  142.050  40.950   2.100  2.63 132.41 
 281156  142.050  40.925   2.133  2.65 132.20 
 280514  142.050  40.900   2.167  2.67 132.18 
 279872  142.050  40.875   2.201  2.69 132.24 
 279230  142.050  40.850   2.235  2.71 132.42 
 278588  142.050  40.825   2.268  2.71 132.58 
 277946  142.050  40.800   2.302  2.72 132.58 
 277304  142.050  40.775   2.336  2.72 132.58 
 276662  142.050  40.750   2.370  2.71 132.58 
 276020  142.050  40.725   2.404  2.69 132.73 
 275378  142.050  40.700   2.437  2.67 132.96 
 274736  142.050  40.675   2.471  2.66 133.22 
 274094  142.050  40.650   2.505  2.65 130.40 
 273452  142.050  40.625   2.538  2.65 130.50 
 272810  142.050  40.600   2.572  2.65 130.43 
 272168  142.050  40.575   2.605  2.65 130.17 
 271526  142.050  40.550   2.639  2.65 129.68 
 270884  142.050  40.525   2.672  2.64 129.35 
 270242  142.050  40.500   2.706  2.64 129.02 
 269600  142.050  40.475   2.739  2.65 128.44 
 268958  142.050  40.450   2.772  2.66 127.85 
 268316  142.050  40.425   2.806  2.66 127.20 
 267674  142.050  40.400   2.839  2.67 126.68 
 267032  142.050  40.375   2.872  2.68 126.23 
 266390  142.050  40.350   2.906  2.69 125.82 
 265748  142.050  40.325   2.939  2.70 125.55 
 265106  142.050  40.300   2.972  2.71 125.55 
 264464  142.050  40.275   3.006  2.71 125.55 
 263822  142.050  40.250   3.039  2.71 125.55 
 263180  142.050  40.225   3.073  2.70 125.11 
 262538  142.050  40.200   3.107  2.70 124.76 
 259971  142.075  40.100   3.245  2.75 124.09 
 257404  142.100  40.000   3.383  2.79 122.13 
 256762  142.100  39.975   3.417  2.76 121.37 
 256120  142.100  39.950   3.451  2.73 120.61 
 253553  142.125  39.850   3.589  2.50 117.82 
