  nnod     Lon    Lat      Cost    hs      dir   
   1411    2.900  39.225   0.000  0.59 337.23 
   1658    2.825  39.275   0.287  0.49 314.38 
   1781    2.775  39.300   0.460  0.50 315.39 
   1904    2.725  39.325   0.632  0.56 316.21 
   2027    2.675  39.350   0.805  0.57 320.27 
   2150    2.625  39.375   0.977  0.58 324.18 
   2273    2.575  39.400   1.150  0.58 326.69 
   2396    2.525  39.425   1.322  0.52 322.80 
   2643    2.450  39.475   1.609  0.50 316.37 
   2766    2.400  39.500   1.781  0.56 320.16 
   3263    2.325  39.600   2.216  1.12   5.17 
   3764    2.350  39.700   2.606  1.37  18.38 
   4265    2.375  39.800   2.999  1.47  22.72 
   4766    2.400  39.900   3.392  1.51  23.31 
   5267    2.425  40.000   3.786  1.49  22.05 
   5768    2.450  40.100   4.180  1.46  20.46 
   6269    2.475  40.200   4.573  1.44  23.58 
   6770    2.500  40.300   4.966  1.43  26.49 
   7271    2.525  40.400   5.358  1.41  30.85 
   7772    2.550  40.500   5.750  1.38  38.70 
   8273    2.575  40.600   6.142  1.37  42.42 
   8398    2.575  40.625   6.237  1.37  43.36 
   8523    2.575  40.650   6.332  1.37  44.25 
   8648    2.575  40.675   6.427  1.37  45.05 
   8773    2.575  40.700   6.522  1.36  47.50 
   9274    2.600  40.800   6.914  1.38  48.58 
   9775    2.625  40.900   7.305  1.38  48.32 
  10276    2.650  41.000   7.695  1.25  49.75 
  10777    2.675  41.100   8.083  1.17  52.45 
  11278    2.700  41.200   8.467  1.12  55.94 
  11779    2.725  41.300   8.851  1.02  62.05 
  12280    2.750  41.400   9.234  0.98  66.64 
  12781    2.775  41.500   9.617  0.91  73.81 
