  nnod     Lon    Lat      Cost    hs      dir   
   1411    2.900  39.225   0.000  2.47 262.14 
   1658    2.825  39.275   0.302  2.47 254.51 
   1781    2.775  39.300   0.484  2.42 254.10 
   1904    2.725  39.325   0.665  2.15 249.43 
   2027    2.675  39.350   0.845  2.10 249.64 
   2150    2.625  39.375   1.025  2.05 249.86 
   2273    2.575  39.400   1.204  2.00 250.20 
   2396    2.525  39.425   1.382  1.93 249.67 
   2643    2.450  39.475   1.677  1.70 246.83 
   2766    2.400  39.500   1.854  1.69 250.96 
   3263    2.325  39.600   2.305  1.95 283.93 
   3764    2.350  39.700   2.715  2.31 359.63 
   4265    2.375  39.800   3.136  2.47  15.33 
   4766    2.400  39.900   3.565  2.71  28.26 
   5267    2.425  40.000   3.999  2.79  30.71 
   5766    2.400  40.100   4.415  2.78  33.29 
   6265    2.375  40.200   4.830  2.75  36.00 
   6766    2.400  40.300   5.263  2.74  35.93 
   7267    2.425  40.400   5.692  2.63  36.41 
   7768    2.450  40.500   6.118  2.56  37.67 
   8269    2.475  40.600   6.538  2.38  38.19 
   8770    2.500  40.700   6.955  2.29  39.66 
   9146    2.525  40.775   7.268  2.22  40.58 
   9522    2.550  40.850   7.579  2.07  39.28 
   9898    2.575  40.925   7.889  2.00  40.38 
  10274    2.600  41.000   8.197  1.92  42.38 
  10650    2.625  41.075   8.503  1.87  43.15 
  11026    2.650  41.150   8.808  1.80  45.28 
  11402    2.675  41.225   9.112  1.72  47.49 
  11778    2.700  41.300   9.412  1.62  49.66 
  12154    2.725  41.375   9.711  1.42  54.30 
  12530    2.750  41.450  10.005  1.29  63.79 
  12781    2.775  41.500  10.207  1.22  77.05 
