  nnod     Lon    Lat      Cost    hs      dir   
    334  -80.363  24.669   0.000  1.01 100.20 
   3649  -80.263  24.694   0.149  0.99 100.41 
   6964  -80.163  24.719   0.298  0.97  99.89 
  10279  -80.063  24.744   0.446  0.94 100.85 
  13594  -79.963  24.769   0.595  0.81 101.09 
  16909  -79.863  24.794   0.743  0.77 103.46 
  20224  -79.763  24.819   0.891  0.72 105.61 
  23539  -79.663  24.844   1.039  0.69 107.50 
  26854  -79.563  24.869   1.186  0.64 109.96 
  30169  -79.463  24.894   1.332  0.60 111.55 
  33484  -79.363  24.919   1.479  0.57 112.43 
  36799  -79.263  24.944   1.626  0.54 102.14 
  40114  -79.163  24.969   1.772  0.51 100.91 
  43429  -79.063  24.994   1.918  0.49  97.94 
  46744  -78.963  25.019   2.064  0.47  95.09 
  50059  -78.863  25.044   2.211  0.45  91.77 
  53374  -78.763  25.069   2.357  0.44  88.12 
  56689  -78.663  25.094   2.503  0.61  90.00 
  60004  -78.563  25.119   2.649  0.60  88.23 
  63319  -78.463  25.144   2.795  0.59  86.59 
  66634  -78.363  25.169   2.941  0.58  85.20 
  69949  -78.263  25.194   3.087  0.59  84.67 
  73264  -78.163  25.219   3.233  0.62  84.25 
  76579  -78.063  25.244   3.380  0.69  83.78 
  79894  -77.963  25.269   3.527  0.71  85.55 
  83209  -77.863  25.294   3.673  0.74  85.12 
  86524  -77.763  25.319   3.820  0.76  84.82 
  89839  -77.663  25.344   3.967  0.79  82.85 
  93154  -77.563  25.369   4.114  0.80  80.90 
  93155  -77.538  25.369   4.150  0.81  80.40 
  93156  -77.513  25.369   4.185  0.81  79.89 
  93157  -77.488  25.369   4.221  0.81  79.38 
  93158  -77.463  25.369   4.256  0.81  78.88 
  93159  -77.438  25.369   4.292  0.81  78.37 
  96474  -77.338  25.394   4.439  0.81  77.30 
  96475  -77.313  25.394   4.474  0.81  77.12 
  96476  -77.288  25.394   4.510  0.76  75.48 
  96477  -77.263  25.394   4.545  0.76  75.18 
  96478  -77.238  25.394   4.581  0.76  74.87 
  96479  -77.213  25.394   4.616  0.75  74.57 
  96480  -77.188  25.394   4.651  0.75  74.50 
  96481  -77.163  25.394   4.687  0.74  74.68 
  96482  -77.138  25.394   4.722  0.73  74.86 
  96483  -77.113  25.394   4.758  0.72  75.04 
  96484  -77.088  25.394   4.793  0.72  75.22 
  96485  -77.063  25.394   4.828  0.71  75.40 
  96486  -77.038  25.394   4.864  0.70  75.58 
  96487  -77.013  25.394   4.899  0.69  75.76 
  96488  -76.988  25.394   4.934  0.69  76.30 
  96489  -76.963  25.394   4.970  0.68  77.01 
  96490  -76.938  25.394   5.005  0.68  77.73 
  96491  -76.913  25.394   5.040  0.67  78.45 
  96492  -76.888  25.394   5.076  0.66  79.16 
  96493  -76.863  25.394   5.111  0.66  79.88 
  96494  -76.838  25.394   5.146  0.65  80.59 
  96495  -76.813  25.394   5.181  0.64  81.31 
  96496  -76.788  25.394   5.217  0.65  81.28 
  96497  -76.763  25.394   5.252  0.66  80.73 
  96498  -76.738  25.394   5.287  0.68  80.17 
  96499  -76.713  25.394   5.323  0.70  79.62 
  96500  -76.688  25.394   5.358  0.71  79.07 
  96501  -76.663  25.394   5.393  0.73  78.51 
  96502  -76.638  25.394   5.429  0.74  77.96 
  96503  -76.613  25.394   5.464  0.76  77.40 
  96504  -76.588  25.394   5.499  0.78  76.49 
  99819  -76.488  25.419   5.647  0.96  65.54 
 103134  -76.388  25.444   5.795  1.11  62.15 
 106449  -76.288  25.469   5.944  1.21  61.97 
 109764  -76.188  25.494   6.093  1.26  62.01 
 113079  -76.088  25.519   6.243  1.28  61.84 
 116394  -75.988  25.544   6.393  1.32  61.89 
 119709  -75.888  25.569   6.544  1.51  57.83 
 123024  -75.788  25.594   6.694  1.53  57.53 
 126339  -75.688  25.619   6.845  1.55  57.39 
 129654  -75.588  25.644   6.996  1.56  57.13 
 132969  -75.488  25.669   7.148  1.58  56.72 
 136284  -75.388  25.694   7.301  1.60  56.29 
 139599  -75.288  25.719   7.454  1.61  55.90 
 142914  -75.188  25.744   7.607  1.78  53.67 
 146229  -75.088  25.769   7.760  1.79  53.08 
 149544  -74.988  25.794   7.913  1.80  52.46 
 149545  -74.963  25.794   7.950  1.80  52.29 
 149546  -74.938  25.794   7.987  1.81  52.12 
 149547  -74.913  25.794   8.024  1.81  51.95 
 149548  -74.888  25.794   8.062  1.81  51.78 
 149549  -74.863  25.794   8.099  1.81  51.61 
 149550  -74.838  25.794   8.136  1.82  51.44 
 149551  -74.813  25.794   8.174  1.82  51.27 
 149552  -74.788  25.794   8.211  1.82  51.10 
 149553  -74.763  25.794   8.249  1.83  50.93 
 149554  -74.738  25.794   8.286  1.83  50.76 
 149555  -74.713  25.794   8.324  1.83  50.59 
 149556  -74.688  25.794   8.361  1.84  50.42 
 149557  -74.663  25.794   8.398  1.84  50.25 
 149558  -74.638  25.794   8.436  1.84  50.08 
 149559  -74.613  25.794   8.473  1.85  49.91 
 149560  -74.588  25.794   8.511  1.74  49.55 
 149561  -74.563  25.794   8.548  1.74  49.42 
 149562  -74.538  25.794   8.586  1.74  49.29 
 149563  -74.513  25.794   8.623  1.74  49.17 
 149564  -74.488  25.794   8.661  1.74  49.04 
 149565  -74.463  25.794   8.698  1.74  48.91 
 149566  -74.438  25.794   8.736  1.74  48.78 
 149567  -74.413  25.794   8.774  1.74  48.66 
 149568  -74.388  25.794   8.811  1.74  48.55 
 149569  -74.363  25.794   8.849  1.74  48.48 
 149570  -74.338  25.794   8.886  1.74  48.40 
 149571  -74.313  25.794   8.924  1.74  48.33 
 149572  -74.288  25.794   8.961  1.74  48.25 
 149573  -74.263  25.794   8.999  1.74  48.18 
 149574  -74.238  25.794   9.036  1.74  48.10 
 149575  -74.213  25.794   9.073  1.74  48.03 
 149576  -74.188  25.794   9.111  1.74  47.95 
 149577  -74.163  25.794   9.148  1.74  47.88 
 149578  -74.138  25.794   9.185  1.74  47.81 
 149579  -74.113  25.794   9.222  1.74  47.74 
 149580  -74.088  25.794   9.259  1.74  47.67 
 149581  -74.063  25.794   9.296  1.74  47.59 
 149582  -74.038  25.794   9.334  1.74  47.52 
 149583  -74.013  25.794   9.371  1.74  47.45 
 149584  -73.988  25.794   9.408  1.74  47.36 
 149585  -73.963  25.794   9.445  1.74  47.28 
 149586  -73.938  25.794   9.482  1.74  47.19 
 149587  -73.913  25.794   9.519  1.66  42.58 
 149588  -73.888  25.794   9.557  1.66  42.48 
 149589  -73.863  25.794   9.594  1.66  42.37 
 149590  -73.838  25.794   9.631  1.66  42.27 
 149591  -73.813  25.794   9.668  1.66  42.17 
 149592  -73.788  25.794   9.705  1.66  42.01 
 149593  -73.763  25.794   9.742  1.66  41.90 
 149594  -73.738  25.794   9.779  1.66  41.78 
 149595  -73.713  25.794   9.817  1.67  41.67 
