  nnod     Lon    Lat      Cost    hs      dir   
  18090  -41.241  25.669   0.000  1.25 100.07 
  19295  -41.208  25.736   0.116  1.24  99.99 
  20500  -41.174  25.803   0.231  1.24  99.88 
  21705  -41.141  25.869   0.346  1.23  99.87 
  22910  -41.108  25.936   0.462  1.22  99.85 
  24115  -41.074  26.003   0.577  1.16 102.65 
  25320  -41.041  26.069   0.693  1.16 102.27 
  26525  -41.008  26.136   0.808  1.16 102.06 
  27730  -40.974  26.203   0.923  1.16 101.91 
  28935  -40.941  26.269   1.038  1.15 102.19 
  30140  -40.908  26.336   1.153  1.14 102.41 
  31345  -40.874  26.403   1.268  1.13 102.62 
  32550  -40.841  26.469   1.383  1.14 102.46 
  33755  -40.808  26.536   1.498  1.14 102.03 
  34960  -40.774  26.603   1.613  1.15  93.71 
  36165  -40.741  26.669   1.728  1.15  92.86 
  37370  -40.708  26.736   1.843  1.15  92.03 
  38575  -40.674  26.803   1.958  1.14  91.19 
  39780  -40.641  26.869   2.073  1.14  89.98 
  40985  -40.608  26.936   2.189  1.14  88.64 
  42190  -40.574  27.003   2.304  1.14  87.25 
  43395  -40.541  27.069   2.420  1.13  85.35 
  44600  -40.508  27.136   2.535  1.15  72.29 
  45805  -40.474  27.203   2.651  1.14  69.17 
  47010  -40.441  27.269   2.766  1.14  64.72 
  48215  -40.408  27.336   2.882  1.14  59.79 
  49420  -40.374  27.403   2.998  1.14  54.82 
  50625  -40.341  27.469   3.115  1.14  48.16 
  51830  -40.308  27.536   3.232  1.14  41.40 
  53035  -40.274  27.603   3.349  1.13  34.50 
  54240  -40.241  27.669   3.467  1.13  27.22 
  56048  -40.174  27.769   3.654  1.14 359.30 
  57856  -40.108  27.869   3.839  1.14 352.93 
  59664  -40.041  27.969   4.025  1.13 347.39 
  61472  -39.974  28.069   4.209  1.13 342.49 
  63280  -39.908  28.169   4.393  1.13 337.93 
  65088  -39.841  28.269   4.577  1.12 328.45 
  66896  -39.774  28.369   4.760  1.12 326.87 
  68704  -39.708  28.469   4.944  1.12 325.41 
  70512  -39.641  28.569   5.127  1.11 323.78 
  72320  -39.574  28.669   5.309  1.11 322.32 
  74128  -39.508  28.769   5.492  1.11 320.94 
  75936  -39.441  28.869   5.675  1.14 319.99 
  77744  -39.374  28.969   5.857  1.14 319.19 
  79552  -39.308  29.069   6.040  1.14 318.45 
  81360  -39.241  29.169   6.222  1.14 317.74 
  83168  -39.174  29.269   6.404  1.14 317.12 
  84976  -39.108  29.369   6.587  1.18 317.60 
  86784  -39.041  29.469   6.769  1.18 317.21 
  88592  -38.974  29.569   6.951  1.18 316.86 
  90400  -38.908  29.669   7.134  1.18 316.54 
  92208  -38.841  29.769   7.316  1.19 316.22 
  94016  -38.774  29.869   7.498  1.19 315.98 
  95824  -38.708  29.969   7.680  1.19 316.27 
  97632  -38.641  30.069   7.863  1.19 316.06 
  99440  -38.574  30.169   8.045  1.20 315.83 
 101248  -38.508  30.269   8.227  1.20 315.49 
 103056  -38.441  30.369   8.409  1.20 315.01 
 104864  -38.374  30.469   8.591  1.37 314.23 
 106672  -38.308  30.569   8.773  1.39 314.31 
 108480  -38.241  30.669   8.955  1.41 314.12 
 110288  -38.174  30.769   9.138  1.43 313.77 
 112096  -38.108  30.869   9.321  1.46 313.45 
 113904  -38.041  30.969   9.504  1.21 315.24 
 115712  -37.974  31.069   9.687  1.21 314.79 
 117520  -37.908  31.169   9.870  1.21 314.39 
 119328  -37.841  31.269  10.053  1.21 313.85 
 121136  -37.774  31.369  10.235  1.22 313.22 
 122944  -37.708  31.469  10.416  1.22 312.79 
 124752  -37.641  31.569  10.598  1.21 316.21 
 126560  -37.574  31.669  10.779  1.22 316.21 
 128368  -37.508  31.769  10.961  1.23 316.22 
 130176  -37.441  31.869  11.142  1.24 316.19 
 131984  -37.374  31.969  11.324  1.25 316.14 
 133792  -37.308  32.069  11.506  1.24 317.48 
 135600  -37.241  32.169  11.687  1.25 317.31 
 137408  -37.174  32.269  11.869  1.25 317.21 
 139216  -37.108  32.369  12.051  1.25 317.14 
 141024  -37.041  32.469  12.232  1.25 317.11 
 142832  -36.974  32.569  12.414  1.25 317.11 
 144640  -36.908  32.669  12.595  1.24 317.39 
 146448  -36.841  32.769  12.776  1.25 317.23 
 148256  -36.774  32.869  12.958  1.25 317.02 
 150064  -36.708  32.969  13.139  1.25 316.82 
 151872  -36.641  33.069  13.320  1.25 316.69 
 153680  -36.574  33.169  13.501  1.14 317.32 
 155488  -36.508  33.269  13.682  1.14 317.48 
 157296  -36.441  33.369  13.864  1.14 317.51 
 159104  -36.374  33.469  14.044  1.13 317.25 
 160912  -36.308  33.569  14.225  1.13 316.80 
 162720  -36.241  33.669  14.405  1.14 316.50 
 164528  -36.174  33.769  14.585  1.21 317.28 
